form	lemma	POS	morph
༄༅། །		PUNCT
ཆོས་རྗེ་	ཆོས་རྗེ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྲུབ་	གྲུབ་	VERB
ལ་	ལ་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
ཀ་མ་ལ་	ཀ་མ་ལ་	NO_POS
འི་	གི་	PART
ཕྲེང་	ཕྲེང་	OTHER
མཛེ་	མཛེ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭསྟི་		NON_WORD
།		PUNCT
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
རྒྱལ་ཚབ་	རྒྱལ་ཚབ་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྗེ་	རྗེ་	NO_POS
། །		PUNCT
ས་	ས་	ADP
གསུམ་	གསུམ་	NUM
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྲུབ་	གྲུབ་	VERB
། །		PUNCT
རྩོད་པ་	རྩོད་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
ཀྱི་	གི་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་	མཁྱེན་	VERB
གཉིས་པ་	གཉིས་པ་	NUM
"།
།"		PUNCT
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
ལོ་	གོ་	PART
ཙཱའི་		NON_WORD
ཞབས་	ཞབས་	NOUN
ལ་མགོ་	ལ་མགོ་	NO_POS
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
། །		PUNCT
སྔོན་ཚེ་	སྔོན་ཚེ་	NO_POS
ཚོང་པ་	ཚོང་པ་	NOUN
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
ཚེ་	ཚེ་	NOUN
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་	གཤེགས་	VERB
། །		PUNCT
མཐའ་	མཐའ་	NOUN
ཡ་		
འོད་	འོད་	NOUN
ལ་	ལ་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
ཕུལ་བ་	ཕུལ་བ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
ཆོས་རྒྱལ་	ཆོས་རྒྱལ་	NOUN
བསོད་ནམས་	བསོད་ནམས་	NOUN
མེ་ཏོག་	མེ་ཏོག་	NOUN
གི་	གི་	PART
།		PUNCT
སྲ་	སྲ་	NOUN
གྱུར་	གྱུར་	VERB
བདེ་གཤེགས་	བདེ་གཤེགས་	NOUN
བརྩོན་འགྲུས་	བརྩོན་འགྲུས་	NOUN
བསྙེན་	བསྙེན་	VERB
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
"།
།"		PUNCT
ཀསྨི་		NON_WORD
ར་	ར་	ADP
ཡི་	གི་	PART
ཐུབ་བསྟན་	ཐུབ་བསྟན་	NOUN
རྩལ་	རྩལ་	NOUN
ལག་	ལག་	NOUN
མཆོག་	མཆོག་	ADJ
།		PUNCT
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
ཤྲཱི་		NON_WORD
བྷ་	བྷ་	NO_POS
དྲ་	དྲ་	NO_POS
། །		PUNCT
ལ་སོགས་	ལ་སོགས་	NO_POS
འཕགས་	འཕགས་	VERB
བོད་	བོད་	PROPN
མཁའ་	མཁའ་	VERB
དང་	དང་	NO_POS
གྲུབ་པ་	གྲུབ་པ་	VERB
ཡི་	གི་	PART
"།
།"		PUNCT
སྐྱེ་བ་	སྐྱེ་བ་	VERB
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
བརྒྱུད་མ་	བརྒྱུད་མ་	NO_POS
ར་	ལ་	PART
སྟོན་	སྟོན་	VERB
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
རིག་འཛིན་	རིག་འཛིན་	OTHER
བྲག་	བྲག་	NOUN
སྟོན་	སྟོན་	VERB
ཡུམ་	ཡུམ་	NOUN
མཆོག་	མཆོག་	ADJ
བསོད་	བསོད་	NO_POS
འབུམ་	འབུམ་	NUM
གྱི་	གི་	PART
། །		PUNCT
སྲ་	སྲ་	NOUN
སུ་	ལ་	PART
ཉེ་བ་		
འབྱུང་	འབྱུང་	VERB
ཚེ་	ཚེ་	NOUN
ཡི་དམ་	ཡི་དམ་	NOUN
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
། །		PUNCT
